ubicación,material
K22-36-A,300026554
K21-32-A,300026555
K21-30-A,300026556
K21-24-A,300026623
K21-50-A,300026753
K21-48-A,300028649
M25-43-A,300036388
M25-35-A,300040075
Q33-43-A,300044061
K22-21-A,300045432
O30-37-A,300045450
K22-25-A,300045758
K22-22-A,300045920
K22-19-A,300045921
K21-49-A,300046056
K22-38-A,300046099
K21-21-A,300046280
Q34-38-A,300047828
K22-53-A,300048024
K21-22-A,300050790
M26-44-A,300051183
K22-29-A,300052282
Q34-35-A,300053729
K21-27-A,300054001
O29-27-A,300054088
Q33-29-A,300054180
Q33-21-A,300054969
O30-29-A,300054998
M26-31-A,300055261
Q34-31-A,300055263
M26-33-A,300056452
R35-19-A,300056494
O30-33-A,300056498
O29-47-A,300056499
M26-29-A,300056554
Q33-28-A,300056555
M25-38-A,300056591
M26-41-A,300056611
Q34-47-A,300056613
M25-19-A,300058529
O30-40-A,300058621
Q33-19-A,300058650
Q33-47-A,300058739
M25-23-A,300058910
Q34-48-A,300058912
Q34-44-A,300058915
M26-38-A,300058980
O30-28-A,300059030
O30-43-A,300059050
Q34-29-A,300059301
Q33-37-A,300059310
O29-31-A,300059311
O29-36-A,300059470
M26-40-A,300059671
K22-23-A,300059755
K21-37-A,300059756
K21-53-A,300059757
K21-54-A,300059758
K21-19-A,300059759
K22-27-A,300059960
K22-37-A,300059961
K21-23-A,300059963
K22-40-A,300059965
K21-33-A,300060100
O30-50-A,300060101
K22-54-A,300060113
K21-34-A,300060114
K22-56-A,300060115
K21-55-A,300060116
K22-48-A,300060117
M25-29-A,300060146
O30-27-A,300060148
Q34-21-A,300060149
O29-29-A,300060211
Q34-41-A,300060212
M26-36-A,300060213
O29-43-A,300060405
Q34-42-A,300060548
Q33-35-A,300060824
Q33-27-A,300060853
Q33-44-A,300060951
O29-50-A,300061074
R35-20-A,300061076
O30-38-A,300061077
O29-30-A,300061104
Q33-23-A,300061105
Q34-25-A,300061209
O30-25-A,300061240
M26-47-A,300061250
K22-32-A,300061947
K22-28-A,300061948
Q34-33-A,300061949
O29-34-A,300062220
M25-33-A,300062221
Q34-26-A,300062250
Q33-40-A,300062524
K21-47-A,300062610
M25-48-A,300063238
M26-48-A,300063442
M25-47-A,300063524
Q33-49-A,300063525
Q34-27-A,300063680
K21-31-A,300063776
K22-35-A,300063778
K22-34-A,300063779
K21-29-A,300063913
K21-36-A,300063914
K21-35-A,300063956
O30-44-A,300064106
Q33-41-A,300064110
Q33-30-A,300064115
Q33-38-A,300064332
K22-47-A,300064333
M26-32-A,300064334
M26-35-A,300064335
O30-19-A,300064336
M26-25-A,300064405
Q34-49-A,300064406
M26-50-A,300064408
O29-28-A,300064409
O29-35-A,300064490
O30-31-A,300064530
O29-19-A,300064531
O29-48-A,300064560
O30-30-A,300064643
Q34-40-A,300064644
O30-41-A,300064645
Q33-36-A,300064647
M26-19-A,300064649
M25-36-A,300064779
O29-38-A,300064916
M25-30-A,300065102
M26-42-A,300065130
Q33-50-A,300065289
R35-21-A,300065304
M25-27-A,300065400
M25-37-A,300065401
M25-44-A,300065402
M25-49-A,300065490
K21-38-A,300065502
K22-33-A,300065503
K22-41-A,300065504
Q33-48-A,300065505
M26-43-A,300065521
Q34-19-A,300065522
O29-49-A,300065523
O30-36-A,300065546
M25-50-A,300065547
K21-44-A,300065656
M25-32-A,300065657
M26-37-A,300065658
Q33-42-A,300065659
K22-50-A,300065779
O30-42-A,300065824
M26-34-A,300065832
M25-34-A,300065833
O30-49-A,300065859
M26-39-A,300065873
O30-35-A,300065874
O30-47-A,300065875
M25-31-A,300065900
Q33-34-A,300065901
M26-49-A,300065906
O30-48-A,300065907
K22-55-A,300065908
O30-39-A,300065922
O29-37-A,300065960
Q33-31-A,300065975
Q34-36-A,300065989
O29-44-A,300065991
O29-42-A,300066020
Q34-39-A,300066190
